county,fips_code,population,area_sq_mi,pop_per_sq_mi
Anderson,48001,58402,1071,54.53
Andrews,48003,18440,1501,12.29
Angelina,48005,86506,802,107.86
Aransas,48007,24510,252,97.26
Archer,48009,8681,910,9.54
Armstrong,48011,1839,914,2.01
Atascosa,48013,49939,1232,40.53
Austin,48015,30380,653,46.52
Bailey,48017,6835,827,8.26
Bandera,48019,21565,792,27.23
Bastrop,48021,102058,888,114.93
Baylor,48023,3477,871,3.99
Bee,48025,30924,880,35.14
Bell,48027,379617,1059,358.47
Bexar,48029,2028236,1247,1626.49
Blanco,48031,11886,711,16.72
Borden,48033,617,899,0.69
Bosque,48035,18503,989,18.71
Bowie,48037,92581,888,104.26
Brazoria,48039,379689,1387,273.75
Brazos,48041,237032,586,404.49
Brewster,48043,9450,6193,1.53
Briscoe,48045,1403,900,1.56
Brooks,48047,6994,943,7.42
Brown,48049,38192,944,40.46
Burleson,48051,18051,666,27.1
Burnet,48053,50954,995,51.21
Caldwell,48055,46791,546,85.7
Calhoun,48057,19727,512,38.53
Callahan,48059,14115,899,15.7
Cameron,48061,423029,906,466.92
Camp,48063,12616,198,63.72
Carson,48065,5746,923,6.23
Cass,48067,28560,938,30.45
Castro,48069,7374,898,8.21
Chambers,48071,48865,599,81.58
Cherokee,48073,51097,1052,48.57
Childress,48075,6736,710,9.49
Clay,48077,10263,1098,9.35
Cochran,48079,2516,775,3.25
Coke,48081,3321,899,3.69
Coleman,48083,7735,1273,6.08
Collin,48085,1109462,848,1308.33
Collingsworth,48087,2615,919,2.85
Colorado,48089,20630,963,21.42
Comal,48091,174986,562,311.36
Comanche,48093,13775,938,14.69
Concho,48095,3341,992,3.37
Cooke,48097,42244,874,48.33
Coryell,48099,84232,1052,80.07
Cottle,48101,1381,901,1.53
Crane,48103,4680,786,5.95
Crockett,48105,3068,2808,1.09
Crosby,48107,5106,900,5.67
Culberson,48109,2193,3813,0.58
Dallam,48111,7172,1505,4.77
Dallas,48113,2586050,880,2938.69
Dawson,48115,12413,902,13.76
Deaf Smith,48117,18329,1497,12.24
Delta,48119,5392,277,19.47
Denton,48121,941647,888,1060.41
DeWitt,48123,19918,909,21.91
Dickens,48125,1740,904,1.92
Dimmit,48127,8473,1331,6.37
Donley,48129,3268,930,3.51
Duval,48131,9756,1793,5.44
Eastland,48133,17864,926,19.29
Ector,48135,161091,901,178.79
Edwards,48137,1438,2120,0.68
Ellis,48139,202678,940,215.61
El Paso,48141,867947,1013,856.81
Erath,48143,43378,1086,39.94
Falls,48145,17313,769,22.51
Fannin,48147,36569,892,41.0
Fayette,48149,24687,950,25.99
Fisher,48151,3706,901,4.11
Floyd,48153,5350,992,5.39
Foard,48155,1080,707,1.53
Fort Bend,48157,858527,875,981.17
Franklin,48159,10464,286,36.59
Freestone,48161,19774,885,22.34
Frio,48163,18436,1133,16.27
Gaines,48165,21895,1502,14.58
Galveston,48167,355062,399,889.88
Garza,48169,5863,896,6.54
Gillespie,48171,27297,1061,25.73
Glasscock,48173,1149,901,1.28
Goliad,48175,7163,854,8.39
Gonzales,48177,19641,1068,18.39
Gray,48179,21030,928,22.66
Grayson,48181,139336,934,149.18
Gregg,48183,124201,274,453.29
Grimes,48185,30287,794,38.14
Guadalupe,48187,177036,711,249.0
Hale,48189,32220,1005,32.06
Hall,48191,2845,903,3.15
Hamilton,48193,8229,836,9.84
Hansford,48195,5159,920,5.61
Hardeman,48197,3552,695,5.11
Hardin,48199,56973,894,63.73
Harris,48201,4728030,1729,2734.55
Harrison,48203,69150,899,76.92
Hartley,48205,5397,1462,3.69
Haskell,48207,5411,903,5.99
Hays,48209,255397,678,376.69
Hemphill,48211,3271,910,3.59
Henderson,48213,83667,874,95.73
Hidalgo,48215,880356,1569,561.09
Hill,48217,36471,962,37.91
Hockley,48219,21363,908,23.53
Hood,48221,64222,422,152.18
Hopkins,48223,37211,785,47.4
Houston,48225,22241,1231,18.07
Howard,48227,34128,903,37.79
Hudspeth,48229,3287,4571,0.72
Hunt,48231,103394,841,122.94
Hutchinson,48233,20495,887,23.11
Irion,48235,1552,1052,1.48
Jack,48237,8712,917,9.5
Jackson,48239,15121,830,18.22
Jasper,48241,32975,938,35.15
Jeff Davis,48243,1949,2265,0.86
Jefferson,48245,253704,904,280.65
Jim Hogg,48247,4801,1136,4.23
Jim Wells,48249,38847,865,44.91
Johnson,48251,187280,729,256.9
Jones,48253,19873,931,21.35
Karnes,48255,14754,750,19.67
Kaufman,48257,157768,786,200.72
Kendall,48259,46788,662,70.68
Kenedy,48261,340,1457,0.23
Kent,48263,749,902,0.83
Kerr,48265,53161,1106,48.07
Kimble,48267,4365,1251,3.49
King,48269,258,912,0.28
Kinney,48271,3130,1364,2.29
Kleberg,48273,30635,871,35.17
Knox,48275,3351,854,3.92
Lamar,48277,50098,917,54.63
Lamb,48279,12898,1016,12.69
Lampasas,48281,22252,712,31.25
La Salle,48283,6670,1489,4.48
Lavaca,48285,20544,970,21.18
Lee,48287,17706,629,28.15
Leon,48289,15959,1072,14.89
Liberty,48291,97621,1160,84.16
Limestone,48293,22119,909,24.33
Lipscomb,48295,2931,932,3.14
Live Oak,48297,11377,1036,10.98
Llano,48299,21978,935,23.51
Loving,48301,57,673,0.08
Lubbock,48303,314451,900,349.39
Lynn,48305,5688,892,6.38
McCulloch,48307,7533,1069,7.05
McLennan,48309,263115,1042,252.51
McMullen,48311,608,1113,0.55
Madison,48313,13718,470,29.19
Marion,48315,9645,381,25.31
Martin,48317,5211,915,5.7
Mason,48319,3943,932,4.23
Matagorda,48321,36344,1114,32.62
Maverick,48323,58056,1280,45.36
Medina,48325,51981,1328,39.14
Menard,48327,1982,902,2.2
Midland,48329,167969,900,186.63
Milam,48331,25106,1017,24.69
Mills,48333,4480,748,5.99
Mitchell,48335,9070,910,9.97
Montague,48337,20409,931,21.92
Montgomery,48339,648886,1044,621.54
Moore,48341,21118,900,23.46
Morris,48343,12030,254,47.36
Motley,48345,1067,989,1.08
Nacogdoches,48347,64668,947,68.29
Navarro,48349,53591,1071,50.04
Newton,48351,12241,933,13.12
Nolan,48353,14597,912,16.01
Nueces,48355,353079,836,422.34
Ochiltree,48357,9782,918,10.66
Oldham,48359,1717,1501,1.14
Orange,48361,84742,356,238.04
Palo Pinto,48363,28686,953,30.1
Panola,48365,22675,801,28.31
Parker,48367,156764,904,173.41
Parmer,48369,9813,882,11.13
Pecos,48371,15118,4764,3.17
Polk,48373,51899,1057,49.1
Potter,48375,116547,909,128.21
Presidio,48377,6140,3856,1.59
Rains,48379,12509,259,48.3
Randall,48381,143854,914,157.39
Reagan,48383,3253,1175,2.77
Real,48385,2826,700,4.04
Red River,48387,11555,1050,11.0
Reeves,48389,14487,2636,5.5
Refugio,48391,6756,770,8.77
Roberts,48393,797,924,0.86
Robertson,48395,16958,855,19.83
Rockwall,48397,116381,149,781.08
Runnels,48399,9943,1054,9.43
Rusk,48401,52743,924,57.08
Sabine,48403,10039,490,20.49
San Augustine,48405,7922,528,15.0
San Jacinto,48407,27878,571,48.82
San Patricio,48409,69699,692,100.72
San Saba,48411,5827,1134,5.14
Schleicher,48413,2429,1311,1.85
Scurry,48415,16824,903,18.63
Shackelford,48417,3212,914,3.51
Shelby,48419,23939,794,30.15
Sherman,48421,2798,923,3.03
Smith,48423,237186,928,255.59
Somervell,48425,9469,187,50.64
Starr,48427,66049,1223,54.01
Stephens,48429,9173,895,10.25
Sterling,48431,1381,923,1.5
Stonewall,48433,1217,919,1.32
Sutton,48435,3319,1454,2.28
Swisher,48437,7008,900,7.79
Tarrant,48439,2126477,864,2461.2
Taylor,48441,143326,916,156.47
Terrell,48443,724,2358,0.31
Terry,48445,11754,890,13.21
Throckmorton,48447,1495,912,1.64
Titus,48449,31183,411,75.87
Tom Green,48451,119411,1522,78.46
Travis,48453,1305154,989,1319.67
Trinity,48455,13827,693,19.95
Tyler,48457,20077,923,21.75
Upshur,48459,41774,588,71.04
Upton,48461,3265,1242,2.63
Uvalde,48463,24729,1557,15.88
Val Verde,48465,47564,3171,15.0
Van Zandt,48467,61275,849,72.17
Victoria,48469,90964,883,103.02
Walker,48471,77977,788,98.96
Waller,48473,59781,514,116.31
Ward,48475,11194,836,13.39
Washington,48477,35891,609,58.93
Webb,48479,267945,3357,79.82
Wharton,48481,41721,1090,38.28
Wheeler,48483,4927,914,5.39
Wichita,48485,130069,628,207.12
Wilbarger,48487,12731,971,13.11
Willacy,48489,20316,597,34.03
Williamson,48491,643026,1124,572.09
Wilson,48493,51257,807,63.52
Winkler,48495,7415,841,8.82
Wise,48497,71714,905,79.24
Wood,48499,45875,650,70.58
Yoakum,48501,7607,800,9.51
Young,48503,17977,922,19.5
Zapata,48505,13908,997,13.95
Zavala,48507,9534,1299,7.34
